,fullpath,tempo,genre,dataset
0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10118334.clip.wav,81.0,,acm
1,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10258351.clip.wav,234.5,,acm
2,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10270809.clip.wav,95.0,,acm
3,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10332517.clip.wav,129.0,,acm
4,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10348303.clip.wav,90.0,,acm
5,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10389587.clip.wav,92.0,,acm
6,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/104186.clip.wav,125.0,,acm
7,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/104222.clip.wav,163.0,,acm
8,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/104260.clip.wav,56.5,,acm
9,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10443543.clip.wav,191.0,,acm
10,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/105009.clip.wav,140.5,,acm
11,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10503810.clip.wav,117.0,,acm
12,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/105233.clip.wav,133.0,,acm
13,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10563001.clip.wav,82.5,,acm
14,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10563039.clip.wav,71.0,,acm
15,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1071042.clip.wav,74.0,,acm
16,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1072106.clip.wav,131.0,,acm
17,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10726032.clip.wav,84.0,,acm
18,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10726039.clip.wav,101.5,,acm
19,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10726058.clip.wav,73.0,,acm
20,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10726076.clip.wav,69.0,,acm
21,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1074945.clip.wav,82.5,,acm
22,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10766976.clip.wav,92.0,,acm
23,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1077416.clip.wav,96.5,,acm
24,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10809231.clip.wav,110.0,,acm
25,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10875997.clip.wav,101.0,,acm
26,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1089239.clip.wav,136.0,,acm
27,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10893272.clip.wav,97.0,,acm
28,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10894070.clip.wav,71.0,,acm
29,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10894286.clip.wav,50.0,,acm
30,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/10894322.clip.wav,98.0,,acm
31,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1094919.clip.wav,111.5,,acm
32,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1094938.clip.wav,97.0,,acm
33,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11030307.clip.wav,160.5,,acm
34,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1103942.clip.wav,101.0,,acm
35,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1107612.clip.wav,107.5,,acm
36,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1108465.clip.wav,122.5,,acm
37,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11095374.clip.wav,72.0,,acm
38,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11116237.clip.wav,131.0,,acm
39,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11116238.clip.wav,152.0,,acm
40,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11119248.clip.wav,133.0,,acm
41,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11119266.clip.wav,79.0,,acm
42,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11141081.clip.wav,120.0,,acm
43,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11173645.clip.wav,55.5,,acm
44,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11173690.clip.wav,124.0,,acm
45,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11193878.clip.wav,124.0,,acm
46,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11234989.clip.wav,113.5,,acm
47,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11305734.clip.wav,133.0,,acm
48,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1134147.clip.wav,110.5,,acm
49,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1134848.clip.wav,88.0,,acm
50,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1136819.clip.wav,135.0,,acm
51,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1137955.clip.wav,112.5,,acm
52,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1139588.clip.wav,74.0,,acm
53,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11401292.clip.wav,89.0,,acm
54,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11401302.clip.wav,85.0,,acm
55,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11401306.clip.wav,77.0,,acm
56,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11409728.clip.wav,93.0,,acm
57,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11430821.clip.wav,104.0,,acm
58,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11444425.clip.wav,113.0,,acm
59,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11451171.clip.wav,91.0,,acm
60,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11471649.clip.wav,132.0,,acm
61,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11496304.clip.wav,126.5,,acm
62,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11552767.clip.wav,81.5,,acm
63,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11554698.clip.wav,67.0,,acm
64,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11612127.clip.wav,136.0,,acm
65,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1161274.clip.wav,79.0,,acm
66,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11622.clip.wav,53.0,,acm
67,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1162848.clip.wav,135.0,,acm
68,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1162915.clip.wav,160.0,,acm
69,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11721306.clip.wav,117.0,,acm
70,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1172179.clip.wav,129.0,,acm
71,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1173974.clip.wav,103.0,,acm
72,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1173975.clip.wav,81.0,,acm
73,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11776496.clip.wav,90.0,,acm
74,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1178481.clip.wav,119.5,,acm
75,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11812770.clip.wav,61.0,,acm
76,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1185384.clip.wav,111.0,,acm
77,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11879927.clip.wav,123.0,,acm
78,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11883189.clip.wav,82.0,,acm
79,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11903392.clip.wav,159.5,,acm
80,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1196613.clip.wav,119.5,,acm
81,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/11984675.clip.wav,69.0,,acm
82,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1200142.clip.wav,92.0,,acm
83,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1200145.clip.wav,115.0,,acm
84,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1201257.clip.wav,80.0,,acm
85,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12143650.clip.wav,98.0,,acm
86,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12185316.clip.wav,78.5,,acm
87,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12185327.clip.wav,38.0,,acm
88,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12185330.clip.wav,67.0,,acm
89,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12185332.clip.wav,62.0,,acm
90,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/122992.clip.wav,95.0,,acm
91,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1231870.clip.wav,87.0,,acm
92,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1245162.clip.wav,57.0,,acm
93,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12475.clip.wav,109.0,,acm
94,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1248986.clip.wav,80.0,,acm
95,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12510539.clip.wav,92.0,,acm
96,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/125965.clip.wav,108.0,,acm
97,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12638736.clip.wav,71.5,,acm
98,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12638738.clip.wav,62.0,,acm
99,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12643846.clip.wav,74.0,,acm
100,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12723242.clip.wav,72.0,,acm
101,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12749684.clip.wav,71.5,,acm
102,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12816052.clip.wav,141.0,,acm
