,tempo,fullpath,genre
0,125.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00000.au,blues
1,68.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00001.au,blues
2,157.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00002.au,blues
3,62.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00003.au,blues
4,132.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00004.au,blues
5,69.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00005.au,blues
6,72.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00006.au,blues
7,92.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00007.au,blues
8,168.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00008.au,blues
9,82.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00009.au,blues
10,156.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00010.au,blues
11,56.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00011.au,blues
12,94.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00012.au,blues
13,107.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00013.au,blues
14,82.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00014.au,blues
15,99.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00015.au,blues
16,100.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00016.au,blues
17,168.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00017.au,blues
18,83.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00018.au,blues
19,124.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00019.au,blues
20,135.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00020.au,blues
21,102.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00021.au,blues
22,99.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00022.au,blues
23,92.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00023.au,blues
24,103.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00024.au,blues
25,95.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00025.au,blues
26,83.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00026.au,blues
27,97.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00027.au,blues
28,104.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00028.au,blues
29,123.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00029.au,blues
30,112.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00030.au,blues
31,112.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00031.au,blues
32,65.0,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\GTZAN/genres/blues/blues.00032.au,blues
